packageID,Client,Address,TimeFrom,TimeTo
1,test1,"Brīvības iela 1, Rīga",08:00,09:00
2,test2,"Lāčplēša iela 25, Rīga",09:15,10:00
3,test3,"Daugavas iela 15, Ogre",10:30,11:15
4,test4,"Rīgas iela 50, Jelgava",11:45,12:30
5,test5,"Raiņa bulvāris 13, Liepāja",13:00,14:00
6,test6,"Kuršu iela 8, Ventspils",14:30,15:30
7,test7,"Brīvības iela 35, Valmiera",16:00,17:00
8,test8,"Viestura iela 2, Jēkabpils",17:30,18:30
9,test9,"Rīgas iela 22, Daugavpils",08:00,09:00
10,test10,"Latgales iela 10, Rēzekne",09:15,10:15
11,test11,"Stacijas iela 5, Tukums",10:45,11:30
12,test12,"Krasta iela 6, Salaspils",12:00,12:45
13,test13,"Lielā iela 1, Sigulda",13:30,14:15
14,test14,"Valkas iela 4, Smiltene",14:45,15:45
15,test15,"Baznīcas laukums 1, Cēsis",16:15,17:00
16,test16,"Kūrmājas prospekts 19, Liepāja",08:00,08:45
17,test17,"Mežsargu iela 8, Kuldīga",09:15,10:00
18,test18,"Pils iela 9, Bauska",10:30,11:15
19,test19,"Dzirnavu iela 16, Aizkraukle",11:45,12:30
20,test20,"Vidzemes iela 3, Limbaži",12:45,13:30
21,test21,"Jūras iela 10, Saulkrasti",14:00,14:45
22,test22,"Talsu iela 5, Talsi",15:00,16:00
23,test23,"Alūksnes iela 7, Alūksne",16:30,17:15
24,test24,"Rīgas iela 24, Gulbene",17:45,18:30
25,test25,"Valdemāra iela 2, Madona",08:15,09:00
26,test26,"Tilta iela 6, Līvāni",09:30,10:15
27,test27,"Jelgavas iela 3, Dobele",10:45,11:30
28,test28,"Baložu iela 2, Ķekava",12:00,12:45
29,test29,"Rīgas gatve 1, Olaine",13:15,14:00
30,test30,"Vecā Ostmala 8, Liepāja",14:30,15:30
31,test31,"Raiņa iela 7, Preiļi",16:00,16:45
32,test32,"Lielā iela 15, Talsi",17:15,18:00
33,test33,"Rīgas iela 11, Balvi",08:00,08:45
34,test34,"Saules iela 3, Ludza",09:15,10:00
35,test35,"Ausekļa iela 12, Krāslava",10:30,11:15
36,test36,"Gaismas iela 5, Ilūkste",11:45,12:30
37,test37,"Ezermalas iela 2, Ogre",13:00,13:45
38,test38,"Brīvības iela 10, Valka",14:15,15:00
39,test39,"Krišjāņa Barona iela 8, Salacgrīva",15:30,16:15
40,test40,"Parka iela 14, Ludza",16:45,17:30
41,test41,"Rīgas iela 2, Ikšķile",08:15,09:00
42,test42,"Jūras iela 6, Engure",09:30,10:15
43,test43,"Pasta iela 9, Kandava",10:45,11:30
44,test44,"Mazā iela 5, Līgatne",12:00,12:45
45,test45,"Tirgus iela 1, Saldus",13:15,14:00
46,test46,"Alejas iela 7, Kuldīga",14:30,15:30
47,test47,"Ventspils iela 2, Ainaži",16:00,16:45
48,test48,"Rīgas iela 16, Tērvete",17:15,18:00
49,test49,"Raiņa iela 3, Dobele",08:15,09:00
50,test50,"Smilšu iela 10, Talsi",09:30,10:15
51,test51,"Saules iela 12, Ventspils",10:45,11:30
52,test52,"Rīgas iela 1, Ogre",12:00,12:45
53,test53,"Pils iela 3, Alūksne",13:15,14:00
54,test54,"Jūras iela 5, Roja",14:30,15:30
55,test55,"Ausekļa iela 9, Bauska",16:00,16:45
56,test56,"Pasta iela 12, Limbaži",17:15,18:00
57,test57,"Rīgas iela 8, Gulbene",08:00,08:45
58,test58,"Krišjāņa iela 2, Madona",09:15,10:00
59,test59,"Baznīcas iela 5, Līvāni",10:30,11:15
60,test60,"Krasta iela 4, Jēkabpils",11:45,12:30
61,test61,"Dzirnavu iela 1, Preiļi",13:00,13:45
62,test62,"Valkas iela 3, Valmiera",14:15,15:00
63,test63,"Saules iela 7, Ogre",15:30,16:15
64,test64,"Jūras iela 11, Saulkrasti",16:45,17:30
65,test65,"Rīgas iela 5, Daugavpils",08:00,08:45
66,test66,"Stacijas laukums 1, Rēzekne",09:15,10:00
67,test67,"Pasta iela 3, Jūrmala",10:30,11:15
68,test68,"Raiņa iela 2, Liepāja",11:45,12:30
69,test69,"Brīvības iela 6, Ventspils",13:00,13:45
70,test70,"Lielā iela 4, Jelgava",14:15,15:00
71,test71,"Baznīcas iela 5, Saldus",15:30,16:15
72,test72,"Meža iela 10, Kandava",16:45,17:30
73,test73,"Rīgas iela 7, Sigulda",08:15,09:00
74,test74,"Raiņa bulvāris 10, Smiltene",09:30,10:15
75,test75,"Saules iela 4, Cēsis",10:45,11:30
76,test76,"Pasta iela 8, Dobele",12:00,12:45
77,test77,"Jūras iela 7, Talsi",13:15,14:00
78,test78,"Baznīcas iela 3, Kuldīga",14:30,15:30
79,test79,"Ausekļa iela 9, Alūksne",16:00,16:45
80,test80,"Lielā iela 5, Tukums",17:15,18:00
81,test81,"Krasta iela 2, Salaspils",08:00,08:45
82,test82,"Pasta iela 4, Ikšķile",09:15,10:00
83,test83,"Valkas iela 5, Madona",10:30,11:15
84,test84,"Rīgas iela 13, Valmiera",11:45,12:30
85,test85,"Dzirnavu iela 3, Jēkabpils",13:00,13:45
86,test86,"Raiņa iela 8, Daugavpils",14:15,15:00
87,test87,"Saules iela 6, Rēzekne",15:30,16:15
88,test88,"Baznīcas laukums 6, Liepāja",16:45,17:30
89,test89,"Jūras iela 9, Ventspils",08:15,09:00
90,test90,"Lāčplēša iela 10, Rīga",09:30,10:15
91,test91,"Raiņa iela 12, Jelgava",10:45,11:30
92,test92,"Krasta iela 8, Ogre",12:00,12:45
